stop_id,stop_code,Stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7014,7014,Sj Cnty Hospital,,37.88663,-121.280972,,,,,,0
3073,3073,El Dorado & Hospital Rd Fs/Nb,,37.886086,-121.276264,,,,,,0
3074,3074,El Dorado & French Camp Ns/Nb,,37.889301,-121.276301,,,,,,0
3075,3075,El Dorado & 4554 El Dorado Mb/Nb,EL DORADO ST & 5544 EL DORADO ST,37.897407,-121.275684,,,,,,0
3076,3076,El Dorado & Western Lumber Mb/Nb,EL DORADO ST & WESTERN LUMBER,37.907322,-121.275597,,,,,,0
3077,3077,Clayton & Harvey Ns/Wb,,37.910995,-121.277245,,,,,,0
7026,7026,Clayton & Odell Ns Wb,,37.910281,-121.27992,,,,,,0
3079,3079,Downing & Mourfield Fs/Eb,DOWNING AVE & MOURFIELD AVE,37.913892,-121.283933,,,,,,0
3080,3080,Odell & Horton Fs/Nb,,37.921401,-121.284826,,,,,,0
3082,3082,Mosswood & El Dorado Ns/Nb,,37.924283,-121.281523,,,,,,0
3083,3083,El Dorado & Ninth St Fs/Nb,,37.92699,-121.28185,,,,,,0
3119,3119,8th St & San Joaquin Fs/Wb,,37.929248,-121.280954,,,,,,0
3085,3085,San Joaquin St & 6th Ns/Nb,,37.932058,-121.281378,,,,,,0
3086,3086,San Joaquin St & 4th Fs/ Nb,,37.934526,-121.282033,,,,,,0
3087,3087,San Joaquin St & 2nd Ns/Nb,,37.936747,-121.282631,,,,,,0
7027,7027,San Joaquin St & Clay St Fs Nb,,37.940493,-121.283668,,,,,,0
3088,3088,San Joaquin St & Anderson Ns/Nb,,37.943143,-121.284383,,,,,,0
3090,3090,San Joaquin St & Hazelton Fs/Nb,,37.947491,-121.285539,,,,,,0
3091,3091,Alvarado & Alpine Fs/Nb,,37.983732,-121.289608,,,,,,0
3092,3092,Alvarado & Fulton Ns/Nb,,37.985467,-121.290332,,,,,,0
3093,3093,Fulton @ 517 Fulton Mb/Wb,,37.984782,-121.294067,,,,,,0
3094,3094,Fulton & Sutter Ns/Wb,,37.984118,-121.296698,,,,,,0
3095,3095,Essex St & Sutter Fs/Wb,,37.988153,-121.298553,,,,,,0
7028,7028,Essex St & El Dorado Ns Wb,,37.98732,-121.3019,,,,,,0
3096,3096,Jamestown & Shelley Fs/Eb,,37.993757,-121.303603,,,,,,0
3100,3100,Claremont & Gold Run  Ns/Nb,,37.991856,-121.30608,,,,,,0
3101,3101,Claremont & Pardee Ns/Nb,,37.993525,-121.308054,,,,,,0
